Row Index,KOD,Year,Uviversity,Hünärler,Tölegli talyp sany,BŽ talyp sany
1,B,2022-2023,TDU,Amaly matematika we informatika,0,0
2,B,2022-2023,TDU,Maglumat ulgamlary we tehnologiýalary,0,0
3,B,2022-2023,TDU,Pedagogika bilimi (informatika we bilimde maglumat tehnologiýalary),25,0
4,B,2022-2023,TDU,Pedagogika bilimi (matematika we informatika),24,0
5,B,2022-2023,TDU,Pedagogika bilimi (geografiýa we ykdysadyýetiň esaslary),50,0
6,B,2022-2023,TDU,Durmuş işi,0,0
7,B,2022-2023,TDU,Başlangyç bilimiň mugallymçylygy we psihologiýasy,0,0
8,B,2022-2023,TDU,Mekdebe çenli bilim we terbiýe,0,0
9,B,2022-2023,TDU,Pedagogika bilimi (iňlis dili),0,0
10,B,2022-2023,TDU,Pedagogika bilimi (nemes we iňlis dilleri),0,0
11,B,2022-2023,TDU,Pedagogika bilimi (fransuz we iňlis dilleri),0,0
12,B,2022-2023,TDU,Pedagogika bilimi (rus dili we edebiýaty),0,0
13,B,2022-2023,TDU,Pedagogika bilimi (ispan we iňlis dilleri),0,0
14,B,2022-2023,TDU,"Pedagogika bilimi (arap dili, türkmen dili we edebiýaty)",0,0
15,B,2022-2023,TDU,"Pedagogika bilimi (pars dili, türkmen dili we edebiýaty)",0,0
16,B,2022-2023,TDU,"Pedagogika bilimi (türk dili, türkmen dili we edebiýaty)",0,0
17,B,2022-2023,TDU,"Pedagogika bilimi (hytaý dili, türkmen dili we edebiýaty)",0,0
18,B,2022-2023,TDU,"Pedagogika bilimi (ýapon dili, türkmen dili we edebiýaty)",0,0
19,B,2022-2023,TDU,"Pedagogika bilimi (koreý dili, türkmen dili we edebiýaty)",0,0
20,B,2022-2023,TDU,"Pedagogika bilimi (hindi dili, türkmen dili we edebiýaty)",0,0
21,B,2022-2023,TDU,Pedagogika bilimi (türkmen dili we edebiýaty),0,0
22,B,2022-2023,TDU,Pedagogika bilimi (italýan we iňlis dilleri),0,0
23,B,2022-2023,TDU,Terjime we terjimeçilik işi (iňlis dili),0,0
24,B,2022-2023,TDU,Terjime we terjimeçilik işi (rus dili),0,0
25,B,2022-2023,TDU,Türkmen dilini okatmagyň usulyýeti,0,0
26,B,2022-2023,TDU,Rus dilini okatmagyň usulyýeti,0,0
27,B,2022-2023,TDU,Iňlis dilini okatmagyň usulyýeti,0,0
28,B,2022-2023,TDU,Nemes dili,0,0
29,B,2022-2023,TDU,Fransuz dili,0,0
30,B,2022-2023,TDU,Ispan dili,0,0
31,B,2022-2023,TDU,Italýan dili,0,0
32,B,2022-2023,TDU,Filosofiýa ,0,0
33,B,2022-2023,TDU,Sosiologiýa ,0,0
34,B,2022-2023,TDU,Žurnalistika ,0,0
35,B,2022-2023,TDU,Halkara jemagat hukugy ,0,0
36,B,2022-2023,TDU,Halkara hususy hukugy ,0,0
