Ýyl,Uniwersitet,Ugur,Welaýat,Hünär,Talyp görnüşi,Kwota
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",BALKAN,Bakalawr,Scholarship,0.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",BALKAN,Bakalawr,Non Scholarship,39.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",DAŞOGUZ,Hünärmen,Scholarship,0.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",DAŞOGUZ,Hünärmen,Non Scholarship,26.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",DAŞOGUZ,Bakalawr,Scholarship,0.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",DAŞOGUZ,Bakalawr,Non Scholarship,35.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",LEBAP,Hünärmen,Scholarship,0.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",LEBAP,Hünärmen,Non Scholarship,112.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",LEBAP,Bakalawr,Scholarship,0.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",LEBAP,Bakalawr,Non Scholarship,75.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",MARY,Hünärmen,Scholarship,0.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",MARY,Hünärmen,Non Scholarship,100.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",MARY,Bakalawr,Scholarship,0.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",MARY,Bakalawr,Non Scholarship,68.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",AŞGABAT,Hünärmen,Scholarship,0.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",AŞGABAT,Hünärmen,Non Scholarship,170.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",AŞGABAT,Bakalawr,Scholarship,0.0
2024,HNGU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",AŞGABAT,Bakalawr,Non Scholarship,149.0
2024,HNGU,5. Jemgyýet baradaky ylymlar,AHAL,Bakalawr,Non Scholarship,21.0
2024,HNGU,5. Jemgyýet baradaky ylymlar,BALKAN,Bakalawr,Non Scholarship,14.0
2024,HNGU,5. Jemgyýet baradaky ylymlar,DAŞOGUZ,Bakalawr,Non Scholarship,19.0
2024,HNGU,5. Jemgyýet baradaky ylymlar,LEBAP,Bakalawr,Non Scholarship,28.0
2024,HNGU,5. Jemgyýet baradaky ylymlar,MARY,Bakalawr,Non Scholarship,32.0
2024,HNGU,5. Jemgyýet baradaky ylymlar,AŞGABAT,Bakalawr,Non Scholarship,75.0
2024,HYYÖU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",AHAL,Bakalawr,Non Scholarship,16.0
2024,HYYÖU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",BALKAN,Bakalawr,Non Scholarship,12.0
2024,HYYÖU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",DAŞOGUZ,Bakalawr,Non Scholarship,17.0
2024,HYYÖU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",LEBAP,Bakalawr,Non Scholarship,21.0
2024,HYYÖU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",MARY,Bakalawr,Non Scholarship,16.0
2024,HYYÖU,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",AŞGABAT,Bakalawr,Non Scholarship,33.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,AHAL,Bakalawr,Non Scholarship,45.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,BALKAN,Hünärmen,Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,BALKAN,Hünärmen,Non Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,BALKAN,Bakalawr,Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,BALKAN,Bakalawr,Non Scholarship,30.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,DAŞOGUZ,Hünärmen,Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,DAŞOGUZ,Hünärmen,Non Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,DAŞOGUZ,Bakalawr,Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,DAŞOGUZ,Bakalawr,Non Scholarship,32.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,LEBAP,Hünärmen,Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,LEBAP,Hünärmen,Non Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,LEBAP,Bakalawr,Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,LEBAP,Bakalawr,Non Scholarship,40.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,MARY,Hünärmen,Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,MARY,Hünärmen,Non Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,MARY,Bakalawr,Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,MARY,Bakalawr,Non Scholarship,43.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,AŞGABAT,Hünärmen,Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,AŞGABAT,Hünärmen,Non Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,AŞGABAT,Bakalawr,Scholarship,0.0
2024,HYYÖU,5. Jemgyýet baradaky ylymlar,AŞGABAT,Bakalawr,Non Scholarship,133.0
2024,HYYÖU,7. Ynsanperwer ylymlar,AHAL,Bakalawr,Non Scholarship,2.0
2024,HYYÖU,7. Ynsanperwer ylymlar,BALKAN,Bakalawr,Non Scholarship,2.0
