,,University,2007-2008 Hünärmen,2007-2008 Bakalawr,2007-2008 Magistr,2008-2009 Hünärmen,2008-2009 Bakalawr,2008-2009 Magistr,2009-2010 Hünärmen,2009-2010 Bakalawr,2009-2010 Magistr,2010-2011 Hünärmen,2010-2011 Bakalawr,2010-2011 Magistr,2011-2012 Hünärmen,2011-2012 Bakalawr,2011-2012 Magistr,2012-2013 Hünärmen,2012-2013 Bakalawr,2012-2013 Magistr,2013-2014 Hünärmen,2013-2014 Bakalawr,2013-2014 Magistr,2014-2015 Hünärmen,2014-2015 Bakalawr,2014-2015 Magistr,2015-2016 Hünärmen,2015-2016 Bakalawr,2015-2016 Magistr,2016-2017 Hünärmen,2016-2017 Bakalawr,2016-2017 Magistr,2017-2018 Hünärmen,2017-2018 Bakalawr,2017-2018 Magistr,2018-2019 Hünärmen,2018-2019 Bakalawr,2018-2019 Magistr,2019-2020 Hünärmen,2019-2020 Bakalawr,2019-2020 Magistr,2020-2021 Hünärmen,2020-2021 Bakalawr,2020-2021 Magistr,2021-2022 Hünärmen,2021-2022 Bakalawr,2021-2022 Magistr,2022-2023 Hünärmen,2022-2023 Bakalawr,2022-2023 Magistr,2023-2024 Hünärmen,2023-2024 Bakalawr,2023-2024 Magistr,2024-2025 Hünärmen,2024-2025 Bakalawr,2024-2025 Magistr,2025-2026 Hünärmen,2025-2026 Bakalawr,2025-2026 Magistr,2026-2027 Hünärmen,2026-2027 Bakalawr,2026-2027 Magistr,2027-2028 Hünärmen,2027-2028 Bakalawr,2027-2028 Magistr,2028-2029 Hünärmen,2028-2029 Bakalawr,2028-2029 Magistr,2029-2030 Hünärmen,2029-2030 Bakalawr,2029-2030 Magistr,2030-2031 Hünärmen,2030-2031 Bakalawr,2030-2031 Magistr,2031-2032 Hünärmen,2031-2032 Bakalawr,2031-2032 Magistr,2032-2033 Hünärmen,2032-2033 Bakalawr,2032-2033 Magistr,2033-2034 Hünärmen,2033-2034 Bakalawr,2033-2034 Magistr,2034-2035 Hünärmen,2034-2035 Bakalawr,2034-2035 Magistr,2035-2036 Hünärmen,2035-2036 Bakalawr,2035-2036 Magistr,2036-2037 Hünärmen,2036-2037 Bakalawr,2036-2037 Magistr,2037-2038 Hünärmen,2037-2038 Bakalawr,2037-2038 Magistr,2038-2039 Hünärmen,2038-2039 Bakalawr,2038-2039 Magistr,2039-2040 Hünärmen,2039-2040 Bakalawr,2039-2040 Magistr,2040-2041 Hünärmen,2040-2041 Bakalawr,2040-2041 Magistr,2041-2042 Hünärmen,2041-2042 Bakalawr,2041-2042 Magistr,2042-2043 Hünärmen,2042-2043 Bakalawr,2042-2043 Magistr,2043-2044 Hünärmen,2043-2044 Bakalawr,2043-2044 Magistr,2044-2045 Hünärmen,2044-2045 Bakalawr,2044-2045 Magistr,2045-2046 Hünärmen,2045-2046 Bakalawr,2045-2046 Magistr,2046-2047 Hünärmen,2046-2047 Bakalawr,2046-2047 Magistr,2047-2048 Hünärmen,2047-2048 Bakalawr,2047-2048 Magistr,2048-2049 Hünärmen,2048-2049 Bakalawr,2048-2049 Magistr,2049-2050 Hünärmen,2049-2050 Bakalawr,2049-2050 Magistr,2050-2051 Hünärmen,2050-2051 Bakalawr,2050-2051 Magistr,2051-2052 Hünärmen,2051-2052 Bakalawr,2051-2052 Magistr
,11,TTII,1008,0,0,1368,,,1505,,,1603,,,1761,,,1811,,,1846,,,1908,,,1995,,,2217,,,2308,,,2319,,,1980,50,,2794,75,,3663,100,,4501,124,,5320,97,,5416,121,,5494,124,,5540,129,,5569,130,,5585,130,,5590,130,,5590,130,,5590,130,,5590,130,,5590,130,,5590,130,,5590,130,,5590,130,,5590,130,,5590,130,,5590,130,,5590,130,,5590,180,,5590,180,,5590,180,,5590,180,,5590,180,,5590,130,50,5590,130,50,5590,130,50,5590,130,50,5590,130,50,5590,130,50
,12,TDLU,280,,,310,,,310,,,310,,,333,,,409,,,450,,,470,,,497,,,573,,,573,,,573,,,647,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,,1000,,
,13,TDBSI,150,,,180,,,180,,,180,,,235,,,285,,,315,,,320,,,320,,,410,,,410,,,440,,,500,,,625,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,,650,,
,14,TDMI,70,,,100,,,100,,,100,,,120,,,160,,,170,,,200,,,200,,,200,,,240,,,270,,,370,,,,420,,,420,,,420,,,420,,,420,20,,420,20,,440,20,,440,20,,440,20,,440,20,,460,20,30,460,20,30,460,20,30,460,20,30,460,20,30,460,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20,30,500,20
,15,TMK,353,,,379,,,389,,,412,,,453,,,495,,,536,,,588,,,637,,,664,,,81,,,66,,,720,,,747,,,777,,,806,,,834,,,837,,,840,,,846,,,849,,,850,,,851,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,,860,,
,16,TDÇA,250,,,262,,,280,,,299,,,313,,,353,,,401,,,447,,,494,,,529,,,563,,,581,,,613,,,654,,,708,,,753,,,786,,,826,,,852,,,869,,,881,,,888,,,898,,,905,,,910,,,910,,,910,,,910,,,910,,,915,,,915,,,915,,,915,,,915,,,920,,,920,,,920,,,920,,,920,,,930,,,930,,,930,,,930,,,930,,,950,,
,17,TITUKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,400,,,505,,,600,,,650,,,439,,,365,,,356,,,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,TOHI,,,,,,,,,,180,,,380,,,595,,,812,,,1037,,,1071,,,1094,,,1103,,,1094,,,1198,,,1301,40,,1322,214,,1310,411,,1288,629,,1146,824,,978,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,TDEI,739,,,941,,,950,,,970,,,1014,,,1084,,,1163,,,1246,,,1338,,,1454,,,1548,,,1613,,,1826,,,2083,53,,2280,123,,2296,398,,2302,671,,2151,908,,1958,1114,15,1778,1115,30,1782,1117,45,1785,1117,60,1805,1117,60,1830,1117,60,1860,1120,60,1880,1137,60,1880,1137,60,1900,1157,60,1900,1157,60,1930,1165,60,1960,1185,60,1990,1200,60,2020,1220,70,2250,1235,70,2265,1250,70,2265,1255,70,2280,1255,70,2280,1270,80,2300,1270,80,2300,1280,80,2320,1300,80,2340,1315,80,2350,1330,90,2360,1330,90,2360,1350,100
,20,SSTDMI,659,0,0,841,0,0,859,0,0,877,0,0,903,0,0,968,0,0,1053,0,0,1251,0,0,1464,0,0,1686,0,0,1933,0,0,2162,0,0,2634,0,0,3284,0,0,3924,,,4579,50,,5165,140,14,5374,249,15,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25,5393,358,25
,21,HAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,95,,38,112,,38,112,,38,112,,38,112,10,38,112,10,38,112,10,40,120,20,40,120,20,40,120,20,40,120,20,40,120,20,40,120,20,40,120,20,40,120,20,40,120,20,50,130,30,50,130,30,50,130,30,50,130,30,50,130,30,50,130,30,50,150,40,50,150,40,50,150,40,50,150,40,50,150,40,50,150,40,50,150,40
