,University,Talyp sany,Year,Hünärler
0.0,SSTDMI,0.0,2008-2009,Magistr
0.0,HAA,0.0,2008-2009,Magistr
0.0,TDU,615.0,2009-2010,Hünärmen
0.0,HNGU,0.0,2009-2010,Hünärmen
0.0,HYYÖU,0.0,2009-2010,Hünärmen
0.0,TITU,0.0,2009-2010,Hünärmen
0.0,TOHU,430.0,2009-2010,Hünärmen
0.0,TMDDI,1054.0,2009-2010,Hünärmen
0.0,TDMal,0.0,2009-2010,Hünärmen
0.0,TDBGI,633.0,2009-2010,Hünärmen
0.0,HGI,223.0,2009-2010,Hünärmen
0.0,TDYDI,320.0,2009-2010,Hünärmen
0.0,TTII,1505.0,2009-2010,Hünärmen
0.0,TDLU,310.0,2009-2010,Hünärmen
0.0,TDBSI,180.0,2009-2010,Hünärmen
0.0,TDMI,100.0,2009-2010,Hünärmen
0.0,TMK,389.0,2009-2010,Hünärmen
0.0,TDÇA,280.0,2009-2010,Hünärmen
0.0,TITUKI,0.0,2009-2010,Hünärmen
0.0,TOHI,0.0,2009-2010,Hünärmen
0.0,TDEI,950.0,2009-2010,Hünärmen
0.0,SSTDMI,859.0,2009-2010,Hünärmen
0.0,HAA,0.0,2009-2010,Hünärmen
0.0,TDU,0.0,2009-2010,Bakalawr
0.0,HNGU,0.0,2009-2010,Bakalawr
0.0,HYYÖU,0.0,2009-2010,Bakalawr
0.0,TITU,0.0,2009-2010,Bakalawr
0.0,TOHU,0.0,2009-2010,Bakalawr
0.0,TMDDI,0.0,2009-2010,Bakalawr
0.0,TDMal,0.0,2009-2010,Bakalawr
0.0,TDBGI,0.0,2009-2010,Bakalawr
0.0,HGI,0.0,2009-2010,Bakalawr
0.0,TDYDI,0.0,2009-2010,Bakalawr
0.0,TTII,0.0,2009-2010,Bakalawr
0.0,TDLU,0.0,2009-2010,Bakalawr
0.0,TDBSI,0.0,2009-2010,Bakalawr
0.0,TDMI,0.0,2009-2010,Bakalawr
0.0,TMK,0.0,2009-2010,Bakalawr
0.0,TDÇA,0.0,2009-2010,Bakalawr
0.0,TITUKI,0.0,2009-2010,Bakalawr
0.0,TOHI,0.0,2009-2010,Bakalawr
0.0,TDEI,0.0,2009-2010,Bakalawr
0.0,SSTDMI,0.0,2009-2010,Bakalawr
0.0,HAA,0.0,2009-2010,Bakalawr
0.0,TDU,0.0,2009-2010,Magistr
0.0,HNGU,0.0,2009-2010,Magistr
0.0,HYYÖU,0.0,2009-2010,Magistr
0.0,TITU,0.0,2009-2010,Magistr
0.0,TOHU,0.0,2009-2010,Magistr
0.0,TMDDI,0.0,2009-2010,Magistr
0.0,TDMal,0.0,2009-2010,Magistr
0.0,TDBGI,0.0,2009-2010,Magistr
0.0,HGI,0.0,2009-2010,Magistr
0.0,TDYDI,0.0,2009-2010,Magistr
0.0,TTII,0.0,2009-2010,Magistr
0.0,TDLU,0.0,2009-2010,Magistr
0.0,TDBSI,0.0,2009-2010,Magistr
0.0,TDMI,0.0,2009-2010,Magistr
0.0,TMK,0.0,2009-2010,Magistr
0.0,TDÇA,0.0,2009-2010,Magistr
0.0,TITUKI,0.0,2009-2010,Magistr
0.0,TOHI,0.0,2009-2010,Magistr
0.0,TDEI,0.0,2009-2010,Magistr
0.0,SSTDMI,0.0,2009-2010,Magistr
0.0,HAA,0.0,2009-2010,Magistr
0.0,TDU,623.0,2010-2011,Hünärmen
0.0,HNGU,0.0,2010-2011,Hünärmen
0.0,HYYÖU,0.0,2010-2011,Hünärmen
0.0,TITU,0.0,2010-2011,Hünärmen
0.0,TOHU,430.0,2010-2011,Hünärmen
0.0,TMDDI,1104.0,2010-2011,Hünärmen
0.0,TDMal,0.0,2010-2011,Hünärmen
0.0,TDBGI,635.0,2010-2011,Hünärmen
0.0,HGI,239.0,2010-2011,Hünärmen
0.0,TDYDI,320.0,2010-2011,Hünärmen
0.0,TTII,1603.0,2010-2011,Hünärmen
0.0,TDLU,310.0,2010-2011,Hünärmen
0.0,TDBSI,180.0,2010-2011,Hünärmen
0.0,TDMI,100.0,2010-2011,Hünärmen
0.0,TMK,412.0,2010-2011,Hünärmen
0.0,TDÇA,299.0,2010-2011,Hünärmen
0.0,TITUKI,0.0,2010-2011,Hünärmen
0.0,TOHI,180.0,2010-2011,Hünärmen
0.0,TDEI,970.0,2010-2011,Hünärmen
0.0,SSTDMI,877.0,2010-2011,Hünärmen
0.0,HAA,0.0,2010-2011,Hünärmen
0.0,TDU,0.0,2010-2011,Bakalawr
0.0,HNGU,0.0,2010-2011,Bakalawr
0.0,HYYÖU,0.0,2010-2011,Bakalawr
0.0,TITU,0.0,2010-2011,Bakalawr
0.0,TOHU,0.0,2010-2011,Bakalawr
0.0,TMDDI,0.0,2010-2011,Bakalawr
0.0,TDMal,0.0,2010-2011,Bakalawr
0.0,TDBGI,0.0,2010-2011,Bakalawr
0.0,HGI,0.0,2010-2011,Bakalawr
0.0,TDYDI,0.0,2010-2011,Bakalawr
0.0,TTII,0.0,2010-2011,Bakalawr
0.0,TDLU,0.0,2010-2011,Bakalawr
0.0,TDBSI,0.0,2010-2011,Bakalawr
0.0,TDMI,0.0,2010-2011,Bakalawr
0.0,TMK,0.0,2010-2011,Bakalawr
0.0,TDÇA,0.0,2010-2011,Bakalawr
0.0,TITUKI,0.0,2010-2011,Bakalawr
0.0,TOHI,0.0,2010-2011,Bakalawr
0.0,TDEI,0.0,2010-2011,Bakalawr
0.0,SSTDMI,0.0,2010-2011,Bakalawr
0.0,HAA,0.0,2010-2011,Bakalawr
0.0,TDU,0.0,2010-2011,Magistr
0.0,HNGU,0.0,2010-2011,Magistr
0.0,HYYÖU,0.0,2010-2011,Magistr
0.0,TITU,0.0,2010-2011,Magistr
0.0,TOHU,0.0,2010-2011,Magistr
0.0,TMDDI,0.0,2010-2011,Magistr
0.0,TDMal,0.0,2010-2011,Magistr
0.0,TDBGI,0.0,2010-2011,Magistr
0.0,HGI,0.0,2010-2011,Magistr
0.0,TDYDI,0.0,2010-2011,Magistr
0.0,TTII,0.0,2010-2011,Magistr
0.0,TDLU,0.0,2010-2011,Magistr
0.0,TDBSI,0.0,2010-2011,Magistr
0.0,TDMI,0.0,2010-2011,Magistr
0.0,TMK,0.0,2010-2011,Magistr
0.0,TDÇA,0.0,2010-2011,Magistr
0.0,TITUKI,0.0,2010-2011,Magistr
0.0,TOHI,0.0,2010-2011,Magistr
0.0,TDEI,0.0,2010-2011,Magistr
0.0,SSTDMI,0.0,2010-2011,Magistr
0.0,HAA,0.0,2010-2011,Magistr
